City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,George Town,MY,80.6,light rain,5.41,100.34,Cititel Penang
5,Kabalo,CD,82.76,few clouds,-6.05,26.92,
8,Jiwani,PK,83.3,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
10,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
12,Butaritari,KI,81.54,light rain,3.07,172.79,Isles Sunset Lodge
13,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
19,Ovalle,CL,88.81,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
22,Kirakira,SB,79.57,broken clouds,-10.45,161.92,SanBiz Lodge
26,Hong Kong,HK,82.99,light rain,22.29,114.16,Mini Hotel Central
29,Nieuw Amsterdam,SR,87.8,shower rain,5.88,-55.08,Hotel Stardust
30,Malanje,AO,77.14,light rain,-9.54,16.34,Malanje Hotel
31,Morant Bay,JM,87.8,thunderstorm,17.88,-76.41,Whispering Bamboo Cove Resort
39,Los Llanos de Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
41,Omboué,GA,75.07,overcast clouds,-1.57,9.26,Hotel Olako
42,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
46,Gushikawa,JP,82.4,scattered clouds,26.35,127.87,Kirari Guest House
48,Gambēla,ET,76.01,overcast clouds,8.25,34.58,Solomon Debebe Hotel
51,Chiang Khong,TH,75.2,light rain,20.26,100.4,Chiangkhong Green Inn Resident
52,Hasaki,JP,80.01,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
54,Cândido Mendes,BR,84.54,broken clouds,-1.45,-45.72,Quebrada Do Mlk PJL
55,Lorengau,PG,81.48,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
56,Kavieng,PG,82.22,light rain,-2.57,150.8,Nusa Island Retreat
69,Marion,US,80.01,broken clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
71,Abhā,SA,75.2,clear sky,18.22,42.51,Abha Hotel
74,São Filipe,CV,81.27,broken clouds,14.9,-24.5,Tortuga B&B
75,Laguna,US,82.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
78,Atuona,PF,77.63,scattered clouds,-9.8,-139.03,Villa Enata
79,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
84,Sur,OM,81.68,clear sky,22.57,59.53,Sur Plaza Hotel
87,Saint-François,FR,75.2,clear sky,46.42,3.91,Manoir Du Bonheur
92,Port Hedland,AU,75.2,scattered clouds,-20.32,118.57,The Esplanade Hotel
98,Isabela,PH,77.0,overcast clouds,6.71,121.97,Isawad Resort
99,Faya,SA,75.2,clear sky,18.39,42.45,مقبرة ال مجمل
100,Makkah al Mukarramah,SA,87.87,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
104,Wanning,CN,82.35,light rain,18.8,110.4,Paradise Hotel
106,Aurillac,FR,81.0,clear sky,44.92,2.45,Hôtel Restaurant Campanile Aurillac
