City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,George Town,MY,5.41,100.34,80.6,100,20,0.43,light rain,2020-09-17 19:21:37
1,Tasiilaq,GL,65.61,-37.64,41.0,88,5,5.82,clear sky,2020-09-17 19:21:54
2,Vaini,TO,-21.2,-175.2,69.8,88,75,11.41,broken clouds,2020-09-17 19:21:55
3,Mahébourg,MU,-20.41,57.7,71.6,73,75,14.99,broken clouds,2020-09-17 19:23:22
4,Saint Paul Harbor,US,57.79,-152.41,55.4,58,40,17.22,scattered clouds,2020-09-17 19:23:22
5,Kabalo,CD,-6.05,26.92,82.76,43,15,2.73,few clouds,2020-09-17 19:23:23
6,Rikitea,PF,-23.12,-134.97,71.85,82,99,23.6,overcast clouds,2020-09-17 19:23:23
7,Qaanaaq,GL,77.48,-69.36,21.18,84,52,9.28,broken clouds,2020-09-17 19:23:23
8,Jiwani,PK,25.05,61.74,83.3,73,0,6.98,clear sky,2020-09-17 19:23:23
9,Uren',RU,57.46,45.79,53.06,78,100,13.22,overcast clouds,2020-09-17 19:23:24
10,Puerto Ayora,EC,-0.74,-90.35,77.0,61,20,23.04,few clouds,2020-09-17 19:23:24
11,Sampit,ID,-2.53,112.95,74.32,94,83,0.49,broken clouds,2020-09-17 19:23:24
12,Butaritari,KI,3.07,172.79,81.54,79,90,16.04,light rain,2020-09-17 19:23:25
13,Hilo,US,19.73,-155.09,80.6,69,75,3.36,broken clouds,2020-09-17 19:22:22
14,Port Alfred,ZA,-33.59,26.89,59.4,70,11,4.56,few clouds,2020-09-17 19:23:25
15,Kruisfontein,ZA,-34.0,24.73,54.0,76,0,1.99,clear sky,2020-09-17 19:23:25
16,Senador José Porfírio,BR,-2.59,-51.95,93.58,47,41,3.36,scattered clouds,2020-09-17 19:23:26
17,Ghanzi,BW,-21.57,21.78,68.43,23,91,3.78,overcast clouds,2020-09-17 19:23:26
18,Upernavik,GL,72.79,-56.15,34.84,84,100,4.63,overcast clouds,2020-09-17 19:23:27
19,Ovalle,CL,-30.6,-71.2,88.81,16,0,6.33,clear sky,2020-09-17 19:23:27
20,Busselton,AU,-33.65,115.33,48.99,51,0,13.11,clear sky,2020-09-17 19:23:27
21,Kiunga,PG,-6.12,141.29,73.33,98,100,1.57,light rain,2020-09-17 19:23:27
22,Kirakira,SB,-10.45,161.92,79.57,84,77,13.38,broken clouds,2020-09-17 19:23:27
23,Bluff,NZ,-46.6,168.33,39.0,80,100,11.01,light rain,2020-09-17 19:23:28
24,Punta Arenas,CL,-53.15,-70.92,42.8,48,75,28.86,broken clouds,2020-09-17 19:21:47
25,Mataura,NZ,-46.19,168.86,39.0,80,86,11.01,overcast clouds,2020-09-17 19:23:28
26,Hong Kong,HK,22.29,114.16,82.99,89,100,22.17,light rain,2020-09-17 19:20:44
27,Kaitangata,NZ,-46.28,169.85,37.99,65,29,7.0,scattered clouds,2020-09-17 19:23:29
28,Haines Junction,CA,60.75,-137.51,52.77,43,100,5.93,overcast clouds,2020-09-17 19:23:29
