City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Laguna,US,2020-09-15 17:18:45,38.42,-121.42,69.01,68,1,3.94
1,Vila Velha,BR,2020-09-15 17:18:45,-20.33,-40.29,80.6,69,20,18.34
2,Northam,GB,2020-09-15 17:18:46,51.03,-4.22,64.0,93,84,4.0
3,Tuktoyaktuk,CA,2020-09-15 17:18:46,69.45,-133.04,30.2,92,90,14.99
4,Port Lincoln,AU,2020-09-15 17:18:46,-34.73,135.87,55.44,80,100,10.38
5,Karratha,AU,2020-09-15 17:14:15,-20.74,116.85,75.4,58,80,8.66
6,Hambantota,LK,2020-09-15 17:18:47,6.12,81.12,80.6,81,48,16.28
7,Poum,NC,2020-09-15 17:18:47,-20.23,164.02,71.49,75,100,16.75
8,Hermanus,ZA,2020-09-15 17:18:47,-34.42,19.23,53.01,75,39,10.54
9,Hobart,AU,2020-09-15 17:15:37,-42.88,147.33,51.8,62,100,14.99
10,Albany,US,2020-09-15 17:13:56,42.6,-73.97,62.01,62,75,4.7
11,Punta Arenas,CL,2020-09-15 17:18:48,-53.15,-70.92,41.0,64,40,32.21
12,Butaritari,KI,2020-09-15 17:18:48,3.07,172.79,83.41,75,36,20.65
13,Upernavik,GL,2020-09-15 17:18:49,72.79,-56.15,28.11,81,0,11.3
14,Kawambwa,ZM,2020-09-15 17:18:50,-9.79,29.08,74.93,39,76,5.46
15,Te Anau,NZ,2020-09-15 17:18:50,-45.42,167.72,37.4,86,75,7.4
16,Cape Town,ZA,2020-09-15 17:13:58,-33.93,18.42,59.0,66,75,9.17
17,Vostok,RU,2020-09-15 17:18:51,46.49,135.88,50.49,87,64,1.32
18,Mayumba,GA,2020-09-15 17:18:51,-3.43,10.66,75.36,86,91,11.79
19,Saint-Philippe,RE,2020-09-15 17:18:51,-21.36,55.77,68.0,60,75,8.05
20,Tiksi,RU,2020-09-15 17:18:51,71.69,128.87,37.65,91,1,1.66
21,Srivardhan,IN,2020-09-15 17:18:52,18.03,73.02,79.5,85,100,2.75
22,Chokurdakh,RU,2020-09-15 17:18:52,70.63,147.92,37.94,90,90,7.96
23,Torbay,CA,2020-09-15 17:18:52,47.67,-52.73,59.0,54,90,20.8
24,Wagar,SD,2020-09-15 17:18:53,16.15,36.2,98.42,27,0,2.42
25,Divnogorsk,RU,2020-09-15 17:18:53,55.96,92.36,42.8,100,36,2.39
26,Ushuaia,AR,2020-09-15 17:18:54,-54.8,-68.3,37.4,74,75,18.34
27,Lebu,CL,2020-09-15 17:14:15,-37.62,-73.65,54.25,83,97,10.65
28,Bambous Virieux,MU,2020-09-15 17:18:55,-20.34,57.76,66.2,77,75,19.46
29,Reyes,BO,2020-09-15 17:18:55,-14.32,-67.38,82.4,61,75,9.17
30,Camacha,PT,2020-09-15 17:18:55,33.08,-16.33,75.2,64,20,8.05
31,Cidreira,BR,2020-09-15 17:18:56,-30.18,-50.21,60.44,66,89,21.12
32,Shingu,JP,2020-09-15 17:18:56,33.73,135.98,69.84,85,99,3.04
33,Ankara,TR,2020-09-15 17:16:26,39.92,32.85,78.8,24,0,6.93
34,Victoria,HK,2020-09-15 17:18:56,22.29,114.16,84.0,83,86,8.01
35,Atuona,PF,2020-09-15 17:14:28,-9.8,-139.03,78.19,74,0,16.2
36,Marawi,PH,2020-09-15 17:18:57,8.0,124.29,75.99,92,100,3.0
37,Mataura,NZ,2020-09-15 17:18:57,-46.19,168.86,39.99,86,86,7.0
38,Baishishan,CN,2020-09-15 17:18:57,43.58,127.57,55.2,86,96,5.26
39,Tasiilaq,GL,2020-09-15 17:18:58,65.61,-37.64,35.6,94,90,25.28
40,Kaitangata,NZ,2020-09-15 17:18:58,-46.28,169.85,41.0,63,78,4.0
41,Srednekolymsk,RU,2020-09-15 17:18:58,67.45,153.68,42.15,86,95,8.81
42,Ortona,IT,2020-09-15 17:18:58,42.35,14.4,77.0,78,35,3.36
43,Bluff,NZ,2020-09-15 17:18:59,-46.6,168.33,39.99,86,71,7.0
44,Nikolskoye,RU,2020-09-15 17:18:59,59.7,30.79,55.0,66,12,4.47
45,Harur,IN,2020-09-15 17:18:59,12.07,78.5,75.7,86,100,3.38
46,Bilma,NE,2020-09-15 17:19:00,18.69,12.92,100.35,11,0,4.88
47,Ngatea,NZ,2020-09-15 17:19:00,-37.28,175.5,55.99,87,22,8.99
48,Thompson,CA,2020-09-15 17:14:18,55.74,-97.86,44.6,87,75,6.93
49,Ullapool,GB,2020-09-15 17:19:01,57.9,-5.16,54.0,89,100,7.0
50,Faanui,PF,2020-09-15 17:19:01,-16.48,-151.75,77.4,80,3,19.44
51,Esperance,AU,2020-09-15 17:19:01,-33.87,121.9,59.0,100,90,13.87
52,Port Alfred,ZA,2020-09-15 17:19:01,-33.59,26.89,59.38,70,100,15.9
53,Valle De Allende,MX,2020-09-15 17:19:01,26.93,-105.4,68.77,72,48,3.98
54,Mattru,SL,2020-09-15 17:19:02,7.62,-11.83,74.12,98,92,4.21
55,Bredasdorp,ZA,2020-09-15 17:19:02,-34.53,20.04,53.6,66,56,3.36
56,Kapaa,US,2020-09-15 17:19:02,22.08,-159.32,78.8,74,1,9.17
57,Talcahuano,CL,2020-09-15 17:19:03,-36.72,-73.12,53.6,81,75,5.82
58,Mahebourg,MU,2020-09-15 17:14:50,-20.41,57.7,66.2,77,75,19.46
59,Mar Del Plata,AR,2020-09-15 17:19:03,-38.0,-57.56,60.8,38,0,19.46
60,Pevek,RU,2020-09-15 17:19:03,69.7,170.31,40.14,86,94,4.74
61,Puerto Del Rosario,ES,2020-09-15 17:15:51,28.5,-13.86,77.0,78,100,17.22
62,Yellowknife,CA,2020-09-15 17:15:11,62.46,-114.35,30.99,46,40,21.92
